2.20	57
2.20	72
2.21	53
2.21	60
3.35	53
3.35	57
3.35	60
3.35	65
4.42	50
4.42	59
4.42	62
4.42	65
4.42	74
4.42	86
4.96	53
5.54	36
5.54	48
5.54	55
5.54	60
5.54	64
5.54	76
7.12	53
7.12	65
7.68	52
7.68	67
8.76	45
8.76	48
8.76	69
8.76	72
8.76	77
8.76	78
9.87	50
9.87	58
9.87	65
9.87	74
10.98	58
10.98	70
11.49	48
11.49	52
11.49	64
11.49	72
12.06	70
12.07	50
12.59	55
13.15	41
13.15	53
13.15	57
13.15	60
13.15	69
13.69	58
13.69	70
14.27	36
14.27	48
14.27	60
14.27	64
14.27	67
14.86	62
15.40	48
15.40	64
15.92	50
15.92	65
16.45	52
16.45	67
16.99	50
16.99	53
17.54	52
17.54	55
17.54	64
18.07	53
18.69	43
18.69	70
19.77	46
20.29	72
20.81	58
20.82	50
20.86	50
20.87	74
21.37	48
21.37	64
21.98	50
21.98	53
21.98	65
21.98	69
23.08	52
23.08	72
23.09	48
23.09	55
23.09	60
23.09	64
23.67	48
24.24	45
24.24	57
24.24	60
24.24	65
24.24	72
25.32	46
25.32	55
25.32	62
25.32	67
26.48	48
26.48	55
26.48	60
26.48	64
26.99	65
27.71	41
27.71	57
27.71	65
28.94	53
28.94	69
30.56	53
30.56	69
31.15	48
31.16	52
32.24	50
32.24	53
32.24	65
32.81	60
32.81	72
33.35	74
33.36	58
33.36	62
33.36	70
33.36	77
33.91	55
33.91	64
34.44	57
34.44	65
34.97	67
35.00	58
35.00	70
35.55	76
35.56	48
35.56	57
36.67	46
36.67	62
36.67	74
37.24	46
37.84	58
37.84	70
38.36	60
38.36	64
38.92	62
38.92	65
39.43	64
39.43	67
39.43	76
40.00	57
40.00	65
40.00	69
40.00	72
40.56	60
40.56	65
41.15	55
41.15	63
41.15	67
41.15	71
42.27	60
42.27	63
42.27	72
43.38	62
43.38	74
44.51	59
44.51	71
45.07	71
45.07	72
45.65	36
45.65	48
45.65	60
45.65	64
45.65	67
46.80	53
46.80	57
46.80	60
46.80	65
47.89	71
47.90	58
47.90	62
47.90	67
48.95	52
48.95	60
48.95	67
48.95	79
49.49	67
50.11	53
50.11	57
50.11	60
50.11	69
50.11	72
51.23	77
51.24	50
51.24	62
51.24	65
51.74	62
51.74	65
52.35	67
52.35	70
52.36	51
52.36	55
52.88	55
52.88	74
53.46	46
53.46	62
54.04	58
54.04	62
54.04	65
54.04	77
54.61	48
54.61	60
54.61	64
55.67	57
55.67	65
55.67	69
56.23	70
56.78	55
56.78	60
56.78	65
56.78	72
57.93	36
57.93	48
57.93	64
58.50	60
58.50	70
59.11	41
59.11	53
60.36	53
60.36	69
61.95	69
61.96	53
62.49	57
62.49	67
62.50	48
62.50	60
63.56	50
63.56	53
63.56	65
64.15	60
64.15	72
64.68	62
64.68	74
64.68	77
64.69	58
65.25	55
65.25	64
65.78	57
65.78	65
66.32	58
66.32	67
66.32	77
66.92	48
66.92	60
66.92	76
66.93	57
68.02	46
68.02	62
68.02	74
68.57	46
69.20	58
69.73	60
69.73	72
69.74	64
70.31	62
70.31	65
70.83	67
70.84	64
71.37	57
71.38	72
71.39	69
71.40	65
71.94	65
71.95	60
72.48	55
72.48	63
72.48	71
73.65	60
73.65	63
73.65	72
74.75	62
74.75	74
75.86	59
75.86	67
75.86	71
76.40	72
76.95	72
76.96	48
76.96	64
78.04	65
78.05	57
78.06	53
78.07	60
79.11	58
79.11	62
79.11	67
80.19	52
80.19	60
80.19	67
80.19	76
80.19	79
80.75	67
81.33	57
81.33	72
81.34	53
81.34	60
82.42	50
82.42	62
82.42	65
82.42	77
82.95	62
82.95	65
82.95	77
83.55	51
83.55	55
83.55	63
83.55	67
83.55	70
84.10	55
84.10	74
84.68	46
84.68	62
85.22	62
85.22	65
85.22	77
85.81	48
85.81	64
85.81	67
86.90	57
86.90	65
86.90	69
87.47	70
88.12	55
88.12	60
88.12	65
88.12	72
89.48	64
89.50	48
90.21	70
91.21	41
91.21	60
91.21	69
